Provenance,English,Somali,Somali italic?
,L.C.M.,Dhufsane yaraha ay wadaagaan (Dh.Y.W),
,Cylinder,Dhuluulubo,
,Degree,Digrii,Y
,Argument,Dood,
,Variable,Doorsoome,
,Surface,Dul,
,Plane surface,Dul sallaxle,
,Curved surface,Dul xoodan,
,Space,Dulalaati,
,Similarity,Ekaansho,
,Function(s),Fansaar(o),
,Isolation,Faquuq,
,Difference,Faraq,
,Sector,Fatuug,
,Expand,Fidi,
,Product,Fidi,
,Concept,Fikrad,
,Distance,Fogaansho,
p-2-13,Bearing,Fool,
,Simplify,Fududee,
,Solve for,Furfur,
,Solution,Furfuris,
,Radius,Gacan,
,Reasoning,Garaadayn,
,Reasoning,Garaadeen,
,Graph,Garaaf,Y
,Compare,Garab dhigid,
,Regular polygon,Geesoole,
,Irregular (polygon),Geesoole qaabdaran,
,Error,Gef,
,Digit,God,
,Concave,Golxo,
,Circle,Goob,
,Outcome,Goobdhac,
,Compass,Goobeeye,
,Conclusion,Go'aan,
,Basis,Gundhig,
,System,Habdhis,
,Unit,Halbeeg,
,Amount,Hanti,
,Model,Heemaal,
,Denominator,Hooseeye,
,Associative,Hormagelin,
,Subset,Hormo urur,
,Order,Horsiimo,
,Fact,Hubaal,
,Check,"Hubi, Hubso",
,Indefinite,Hubneyn,
,Checking,"Hubsiimo, Hubin",
,Contradiction,Isburin,
,Coincide,Isdul dhac,
,Intersection (of lines),Isgoys,
,Factor,Isir,
,Highest common factor,Isir weynahaa wadaagaan,
p-2-14,Factorisation,Isireyn,
,Cofactor,Isirwadaag,
,One-to-one correspondence,Isku begnaan mid mid ah,
,Co-planar,Isku dhallax,
,Cross multiplier,Isku dhufasho talantaali ah,
,Co-linear,Isku toos,
,Conjunction,Isku xidhe,
,Consecutive,Isku xige,
,Concentric,Isku xudun,
,Compound,"Iskudhis, tude",
,Analogous,Iskusifaale,
,Multiplication,Isku-dhufasho,
,Equation,Isla'eg,
,Quadrilateral equation,Isla'eg saableeya,
